artists,name,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"['Tokischa', 'Natanael Cano']",Kilos de Amor,"['dominican pop', 'rap latina', 'trap dominicano', 'corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",0.0,1.0,0.4545454545454546,1.0,0.0,0.0,0.10407725321888411,0.0,0.2872295290623674,0.3333333333333335,0.11241267377037611
['Toser One'],Rap Real,"['latin hip hop', 'mexican hip hop', 'urbano mexicano']",0.7578288100208769,0.40256959314775165,1.0,0.7293150012275964,1.0,0.8206141684402554,0.0,0.0431297709923664,0.08145948239287229,0.10534591194968557,0.8578081998447533
"['Toser One', 'Ele A El Dominio']",Sin Drama,"['latin hip hop', 'mexican hip hop', 'urbano mexicano', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",0.8225469728601252,0.41113490364025707,0.09090909090909091,0.9423029707832066,1.0,0.055031924597141985,0.5311625303228215,0.0,0.0,0.6352201257861636,0.589219768070943
"['Midnvght', 'Ele A El Dominio', 'Almighty']",Traficando - Remix,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",0.4175365344467642,0.6231263383297646,1.0,0.814141910139946,0.0,0.17604134995439344,0.3725508490389999,0.0,0.1726771319473907,0.06603773584905659,0.624397243196199
['Josephlee'],AIRBN,"['trap boricua', 'urbano latino']",0.8121085594989562,0.0,0.6363636363636364,0.0,0.0,0.4618425053207662,1.0,0.0,0.03818413237165891,0.11477987421383651,0.22463716980688275
"['13am', 'Brray', 'lil joujou', 'Marconi Impara', 'Jovaan']",Flip Flop (feat. Marconi Impara & Jovaan) - Remix,"['urbano latino', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino', 'urbano mexicano', 'trap latino', 'urbano latino', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino', 'trap boricua', 'trap latino', 'urbano latino']",0.9999999999999999,0.9957173447537474,0.0,0.9237662656518537,1.0,1.0,0.7737451016980781,0.0004427480916030534,1.0,0.5141509433962266,0.376261378872345
['Ralphy'],Cabrrr,[],0.511482254697286,0.24839400428265523,0.8181818181818182,0.1708814141910142,1.0,0.47704469443599873,0.11690613920507559,0.0,0.4039032668646584,0.19025157232704404,0.7055018464940137
['JC Calva'],No Necesito tu Amor,[],0.7014613778705637,0.4967880085653106,1.0,0.7279646452246502,0.0,0.19732441471571907,0.24892703862660945,0.0,0.03669919389053883,0.0,0.9768306165173006
['JC Calva'],No Necesito tu Amor,[],0.7014613778705637,0.4967880085653106,1.0,0.7279646452246502,0.0,0.19732441471571907,0.24892703862660945,0.0,0.03669919389053883,0.0,0.9768306165173006
['Lémat'],Si Estuvieras,[],0.3173277661795407,0.5610278372591008,0.0,0.6538178246992389,1.0,0.050775311644876864,0.046463892517260685,0.9999999999999999,0.20449724225710642,0.35062893081761015,0.882635899607179
"['Zito Music', 'Niño Len']",Ella me encanta - Remix,[],0.2609603340292276,0.3554603854389723,0.9090909090909092,0.20942794009329746,0.0,0.1526299787169352,0.8437208434409404,0.0,0.4760288502333474,0.5801886792452831,0.9279632112530283
"['Archy', 'Arnaldo Omar', 'Chase the Musical Sequence']",Color Fresa,[],0.32150313152400833,0.2505353319057816,0.0,0.46931009084213127,0.0,0.0903010033444816,0.717764508303788,0.006526717557251908,0.35511243105642765,0.2751572327044026,0.9537200385764353
['Cali Cael'],Un Pacto,[],0.6137787056367433,0.04925053533190582,0.5454545454545454,0.4704149275718146,0.0,0.9179081787777439,0.9346893077066618,0.09923664122137403,0.0941875265167586,0.14937106918238996,0.9534024886505306
['Jorge Amaro'],#Mistanuevacriatura Saulo De Tarzo,[],0.791231732776618,0.4646680942184155,0.9090909090909092,0.24097716670758662,0.0,0.17908178777743997,0.3538906512409032,0.05534351145038167,0.44845142129826043,1.0000000000000002,0.0
['Kike Paz'],Tan En La Tuya,[],0.582463465553236,0.4732334047109207,0.0,0.48305917014485633,1.0,0.8692611736089997,0.0917148721776451,0.32519083969465645,0.06448875689435724,0.6116352201257862,0.9999999999999998
