artists,name,variable,value
['Toser One'],Rap Real,speechiness,0.8206141684402554
"['Toser One', 'Ele A El Dominio']",Sin Drama,speechiness,0.055031924597141985
"['Midnvght', 'Ele A El Dominio', 'Almighty']",Traficando - Remix,speechiness,0.17604134995439344
['Josephlee'],AIRBN,speechiness,0.4618425053207662
"['13am', 'Brray', 'lil joujou', 'Marconi Impara', 'Jovaan']",Flip Flop (feat. Marconi Impara & Jovaan) - Remix,speechiness,1.0
['Ralphy'],Cabrrr,speechiness,0.47704469443599873
['JC Calva'],No Necesito tu Amor,speechiness,0.19732441471571907
['JC Calva'],No Necesito tu Amor,speechiness,0.19732441471571907
['Lémat'],Si Estuvieras,speechiness,0.050775311644876864
"['Zito Music', 'Niño Len']",Ella me encanta - Remix,speechiness,0.1526299787169352
"['Archy', 'Arnaldo Omar', 'Chase the Musical Sequence']",Color Fresa,speechiness,0.0903010033444816
['Cali Cael'],Un Pacto,speechiness,0.9179081787777439
['Jorge Amaro'],#Mistanuevacriatura Saulo De Tarzo,speechiness,0.17908178777743997
['Kike Paz'],Tan En La Tuya,speechiness,0.8692611736089997
"['Tokischa', 'Natanael Cano']",Kilos de Amor,acousticness,0.10407725321888411
['Toser One'],Rap Real,acousticness,0.0
"['Toser One', 'Ele A El Dominio']",Sin Drama,acousticness,0.5311625303228215
"['Midnvght', 'Ele A El Dominio', 'Almighty']",Traficando - Remix,acousticness,0.3725508490389999
['Josephlee'],AIRBN,acousticness,1.0
"['13am', 'Brray', 'lil joujou', 'Marconi Impara', 'Jovaan']",Flip Flop (feat. Marconi Impara & Jovaan) - Remix,acousticness,0.7737451016980781
['Ralphy'],Cabrrr,acousticness,0.11690613920507559
['JC Calva'],No Necesito tu Amor,acousticness,0.24892703862660945
['JC Calva'],No Necesito tu Amor,acousticness,0.24892703862660945
['Lémat'],Si Estuvieras,acousticness,0.046463892517260685
"['Zito Music', 'Niño Len']",Ella me encanta - Remix,acousticness,0.8437208434409404
"['Archy', 'Arnaldo Omar', 'Chase the Musical Sequence']",Color Fresa,acousticness,0.717764508303788
['Cali Cael'],Un Pacto,acousticness,0.9346893077066618
['Jorge Amaro'],#Mistanuevacriatura Saulo De Tarzo,acousticness,0.3538906512409032
['Kike Paz'],Tan En La Tuya,acousticness,0.0917148721776451
"['Tokischa', 'Natanael Cano']",Kilos de Amor,instrumentalness,0.0
['Toser One'],Rap Real,instrumentalness,0.0431297709923664
"['Toser One', 'Ele A El Dominio']",Sin Drama,instrumentalness,0.0
"['Midnvght', 'Ele A El Dominio', 'Almighty']",Traficando - Remix,instrumentalness,0.0
['Josephlee'],AIRBN,instrumentalness,0.0
"['13am', 'Brray', 'lil joujou', 'Marconi Impara', 'Jovaan']",Flip Flop (feat. Marconi Impara & Jovaan) - Remix,instrumentalness,0.0004427480916030534
['Ralphy'],Cabrrr,instrumentalness,0.0
['JC Calva'],No Necesito tu Amor,instrumentalness,0.0
['JC Calva'],No Necesito tu Amor,instrumentalness,0.0
['Lémat'],Si Estuvieras,instrumentalness,0.9999999999999999
"['Zito Music', 'Niño Len']",Ella me encanta - Remix,instrumentalness,0.0
"['Archy', 'Arnaldo Omar', 'Chase the Musical Sequence']",Color Fresa,instrumentalness,0.006526717557251908
['Cali Cael'],Un Pacto,instrumentalness,0.09923664122137403
['Jorge Amaro'],#Mistanuevacriatura Saulo De Tarzo,instrumentalness,0.05534351145038167
['Kike Paz'],Tan En La Tuya,instrumentalness,0.32519083969465645
"['Tokischa', 'Natanael Cano']",Kilos de Amor,liveness,0.2872295290623674
['Toser One'],Rap Real,liveness,0.08145948239287229
"['Toser One', 'Ele A El Dominio']",Sin Drama,liveness,0.0
"['Midnvght', 'Ele A El Dominio', 'Almighty']",Traficando - Remix,liveness,0.1726771319473907
['Josephlee'],AIRBN,liveness,0.03818413237165891
"['13am', 'Brray', 'lil joujou', 'Marconi Impara', 'Jovaan']",Flip Flop (feat. Marconi Impara & Jovaan) - Remix,liveness,1.0
['Ralphy'],Cabrrr,liveness,0.4039032668646584
['JC Calva'],No Necesito tu Amor,liveness,0.03669919389053883
['JC Calva'],No Necesito tu Amor,liveness,0.03669919389053883
['Lémat'],Si Estuvieras,liveness,0.20449724225710642
"['Zito Music', 'Niño Len']",Ella me encanta - Remix,liveness,0.4760288502333474
"['Archy', 'Arnaldo Omar', 'Chase the Musical Sequence']",Color Fresa,liveness,0.35511243105642765
['Cali Cael'],Un Pacto,liveness,0.0941875265167586
['Jorge Amaro'],#Mistanuevacriatura Saulo De Tarzo,liveness,0.44845142129826043
['Kike Paz'],Tan En La Tuya,liveness,0.06448875689435724
"['Tokischa', 'Natanael Cano']",Kilos de Amor,valence,0.3333333333333335
['Toser One'],Rap Real,valence,0.10534591194968557
"['Toser One', 'Ele A El Dominio']",Sin Drama,valence,0.6352201257861636
"['Midnvght', 'Ele A El Dominio', 'Almighty']",Traficando - Remix,valence,0.06603773584905659
['Josephlee'],AIRBN,valence,0.11477987421383651
"['13am', 'Brray', 'lil joujou', 'Marconi Impara', 'Jovaan']",Flip Flop (feat. Marconi Impara & Jovaan) - Remix,valence,0.5141509433962266
['Ralphy'],Cabrrr,valence,0.19025157232704404
['JC Calva'],No Necesito tu Amor,valence,0.0
['JC Calva'],No Necesito tu Amor,valence,0.0
['Lémat'],Si Estuvieras,valence,0.35062893081761015
"['Zito Music', 'Niño Len']",Ella me encanta - Remix,valence,0.5801886792452831
"['Archy', 'Arnaldo Omar', 'Chase the Musical Sequence']",Color Fresa,valence,0.2751572327044026
['Cali Cael'],Un Pacto,valence,0.14937106918238996
['Jorge Amaro'],#Mistanuevacriatura Saulo De Tarzo,valence,1.0000000000000002
['Kike Paz'],Tan En La Tuya,valence,0.6116352201257862
"['Tokischa', 'Natanael Cano']",Kilos de Amor,tempo,0.11241267377037611
['Toser One'],Rap Real,tempo,0.8578081998447533
"['Toser One', 'Ele A El Dominio']",Sin Drama,tempo,0.589219768070943
"['Midnvght', 'Ele A El Dominio', 'Almighty']",Traficando - Remix,tempo,0.624397243196199
['Josephlee'],AIRBN,tempo,0.22463716980688275
"['13am', 'Brray', 'lil joujou', 'Marconi Impara', 'Jovaan']",Flip Flop (feat. Marconi Impara & Jovaan) - Remix,tempo,0.376261378872345
['Ralphy'],Cabrrr,tempo,0.7055018464940137
['JC Calva'],No Necesito tu Amor,tempo,0.9768306165173006
['JC Calva'],No Necesito tu Amor,tempo,0.9768306165173006
['Lémat'],Si Estuvieras,tempo,0.882635899607179
"['Zito Music', 'Niño Len']",Ella me encanta - Remix,tempo,0.9279632112530283
"['Archy', 'Arnaldo Omar', 'Chase the Musical Sequence']",Color Fresa,tempo,0.9537200385764353
['Cali Cael'],Un Pacto,tempo,0.9534024886505306
['Jorge Amaro'],#Mistanuevacriatura Saulo De Tarzo,tempo,0.0
['Kike Paz'],Tan En La Tuya,tempo,0.9999999999999998
